发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数,verified_reason,description
成都日报锦观,05月22日14:43,来自微博视频号, 【#袁隆平院士逝世#】“我一直有两个梦，一个是禾下乘凉梦，一个是杂交水稻覆盖全球梦。”袁老，一路走好！L成都日报锦观的微博视频​,0,0,2,8,《成都日报》官方微博,《成都日报》是成都市委机关报，也是成都最具影响力的大型综合日报之一。“权威、深度、责任”是我们的办报理念。欢迎拨打本报新闻热线：028-962211。
应城同城会,05月25日15:36,来自iPhone客户端, #长沙花店被曝欺骗买花吊唁网友#同一束花更换卡片被卖给多人，很多人在美团长沙花店给袁隆平爷爷买花，结果都被骗了，同一束花换上我们不同人的卡片！,0,0,0,4,应城同城会官方微博,应城同城会官方微博，新闻、趣事、求助请@应城同城会！
潼关检察,05月26日09:32,来自iPhone客户端, 这是一部以袁隆平爷爷Q版形象为主角的科普动画片非常值得一看！向所有科研工作者致敬！！#以袁隆平q版形象为主角的科普动画片#L当时我就震惊了的微博视频​​​​2渭南·潼关县​,0,0,2,1,陕西省渭南市潼关县人民检察院官方微博,陕西省渭南市潼关县人民检察院官方微博
扬帆手机频道,05月26日08:44,来自微博视频号, 【【关注】袁隆平送别仪式举行扬大农学院学子寄哀思】5月24日上午十点，“杂交水稻之父”、“共和国勋章”获得者、中国工程院院士袁隆平遗体送别仪式在长沙市明阳山殡仪馆举行。各界人士自发前往殡仪馆和湖南杂交水稻研究中心送这位“稻田守护者”最后一程，此外，千万网友还在“屏前”、在“云端”寄托哀思。L扬帆手机频道的微博视频  ,0,0,0,0,扬州广播电视总台扬帆手机频道官方微博,“扬帆”APP是扬州广电基于多年移动互联网领域的探索和研究，按照“极致思维”打造的集“信息发布，政令政务；娱乐互动，生活服务；智慧城市，知识解读；视频直播，电子商务；快乐分享，在线支付”等功能于一体的城市新型主流媒体平台！
延安政法,05月22日20:27,来自nova5i2400万AI四摄, 袁隆平逝世,0,0,0,0,中共延安市委政法委员会官方微博,讲好延安政法故事，传递延安政法声音
青羊共青团,05月23日08:24,来自微博视频号, #青羊青年之声#【饥荒年代不可能再有了陕西#小伙用泥塑致敬袁隆平院士#】5月22日，陕西咸阳兴平小伙杨选将自己制作的袁隆平院士泥塑雕像视频放在社交网络。杨选说，自己当天一直在工作室进行创作，下午下班获知袁隆平院士逝世的消息后，感到十分悲痛。因为在去年疫情期间，作为雕塑艺术创作者的他，深感逆行英雄们的不易和伟大，便专心泥塑对国家有贡献的英雄人物雕像。而在去年3月，杨选就花费了3天时间泥塑了袁隆平院士的雕像，现在他把泥塑雕像拿出来，向公众呈现以致敬袁隆平院士。L陕视新闻的微博视频  ,0,0,0,30,共青团成都市青羊区委员会官方微博,
长春南关区法院,05月25日10:36,来自微博视频号, 【为缅怀袁隆平烟花公司设计#稻穗状烟花#】5月24日，一束稻穗状的烟花绽放在空中。为了纪念隆平院士，浏阳一家烟花公司专门设计了稻穗状日景烟花，该公司负责人表示，“一束稻穗，千里援思，为缅怀袁爷爷设计的”。L新京报我们视频的微博视频​,0,0,2,0,吉林省长春市南关区人民法院官方微博,
南宁铁路,05月23日17:42,来自微博搜索, 【#送别袁老的花海中有许多心里话#】23日，长沙市民手捧鲜花，来到明阳山殡仪馆，冒雨吊唁袁隆平院士。花海中，有许多#请袁老查收的卡片#。”#袁隆平雕像前的花海#,0,7,0,6,中国铁路南宁局集团有限公司官方微博,中国铁路南宁局集团有限公司是中国国家铁路集团有限公司的全资子公司，于2017年11月19日由原南宁铁路局改制挂牌成立，前身为柳州铁路局，成立于1953年1月1日。
铁力市检察,05月24日05:31,来自微博视频号, 【#长沙市民鸣笛送别袁隆平#】5月22日，湖南长沙。袁隆平院士灵车经过之处，车辆鸣笛送别。#民众高喊袁爷爷一路走好#@人民日报L人民日报的微博视频​​​,0,0,3,1,黑龙江省铁力市人民检察院官方微博,全国优秀基层检察院   最高检授予集体一等功    黑龙江省先进基层检察院    黑龙江省级精神文明单位标兵
济南日报,05月22日18:29,来自微博视频号, 【一路走好！#长沙市民雨中送别袁隆平#】泪目！长沙街头市民雨中自发送别袁隆平。众人齐喊“袁爷爷，一路走好”。#长沙市民齐喊袁爷爷一路走好#L红星视频的微博视频#送别国之脊梁袁隆平# #共和国一天痛失两位院士#​,0,0,0,0,《济南日报》 官方微博,《济南日报》创刊于1948年，是有着悠久革命传统、见证新中国发展历程、具有广泛社会影响力的主流大报。作为中共济南市委机关报，《济南日报》是全国十五家副省级党报之一，日均发行量近20万，覆盖全国30多个省市，是济南覆盖最广的主流媒体。
武昌共青团,05月25日09:27,来自微博视频号, #用稻香唱出对袁隆平爷爷的思念#[水稻]“我好想你在田间歇着身子，禾下乘凉渐渐遮去影子，微微笑，拾起一粒希望的种子……我好想把未来活成那粒种子，健康康康长成颗好苗子，稻穗响，就是在念你名字……”我们想您L云村大神的微博视频​,0,0,0,0,共青团武汉市武昌区委员会官方微博,共青团武汉市武昌区委员会官方微博
崔黄口时讯,05月23日13:35,来自前后2000万OPPOR11, 追忆袁隆平与天津小站稻情缘：“一见水稻就来精神儿”O网页链接​,0,0,0,0,天津市武清区崔黄口镇人民政府官方微博,崔黄口时讯微信公众平台正式上线啦
各界导报社官微,05月22日18:51,来自微博视频号, 【#长沙市民鸣笛送别袁隆平#】5月22日，湖南长沙。袁隆平院士灵车经过之处，车辆鸣笛送别。#民众高喊袁爷爷一路走好#L人民日报的微博视频​,0,0,0,1,各界导报官方微博,反映各界心声 维护各界权益
陕视新闻,05月24日11:54,来自微博视频号, 【#袁花花常陪袁隆平听汇报#网友：袁花花你要好好长大】这只小猫名叫袁花花，是袁隆平在2020年五一收养的，此后经常陪着袁老听各种汇报。2020年7月，袁隆平家里，学生李建武来汇报各地水稻实验田的亩产情况，袁花花陪伴在旁边。如今，#袁花花再也无法陪袁隆平听汇报了#L央视国家记忆的微博视频​,0,1,0,24,陕西广播电视台新闻中心采访部,这里是陕西广播电视台新闻中心采访部的官方微博，2013年4月10日陕视新闻成立。
活力内蒙古,05月23日09:25,来自iPhone客户端, #联合国粮农组织悼念袁老#袁老，内蒙古还在等您来……#袁隆平院士为中国带来了哪些变化#,0,1,0,2,内蒙古自治区互联网信息办公室官方微博,爱自然，爱发展，爱原生态，也爱高科技。我不只有辽阔的草原，更有繁华的今天，富民强区并重，来过不会后悔，我是内蒙古~~~
牡丹江检察,05月22日11:49,, 【多方证实：#袁隆平去世消息不实#】5月22日上午，人民日报记者从湖南省委宣传部、中国工程院和袁隆平院士秘书处等多个渠道证实，网上关于袁隆平逝世的消息不实，袁隆平院士目前在医院接受治疗。​​,0,1,2,1,黑龙江省牡丹江市人民检察院官方微博,
平安洛宁,05月25日00:48,来自微博视频号, #传承的决心如稻穗饱满#【#禾下乘凉梦我们接续努力#】“以后吃饭绝对不浪费粮食，好好搞科研，你要相信我，我会做到的。”九江、南京、重庆、长沙，在袁隆平故乡，在袁老曾经求学、生活、工作的地方，他们有话想对袁隆平说↓↓接过接力棒，“努力做一颗向上的小种子”。（人民日报）L人民日报的微博视频@洛宁县见义勇为协会  ,0,0,0,1,河南省洛阳市洛宁县公安局,真诚沟通，无间交流，服务于民，平安洛宁就在您身边，欢迎@平安洛宁
中国新闻社,05月24日12:28,来自微博视频号, #袁老身上覆盖着鲜红的国旗#【#袁隆平遗体送别仪式有民众跪地痛哭#】5月24日上午10时，“杂交水稻之父”、“共和国勋章”获得者袁隆平院士遗体送别仪式在长沙市明阳山殡仪馆铭德厅举行。社会各界人士送别袁隆平院士最后一程。（白祖偕）@中新视频L中新视频的微博视频​,0,26,6,96,中国新闻社法人微博,
内蒙古自治区乡村振兴局,05月26日15:31,来自微博weibo.com, “共和国勋章”获得者、中国工程院院士、国家杂交水稻工程技术研究中心主任、湖南省政协原副主席袁隆平，因多器官功能衰竭，于2021年5月22日13时07分在长沙逝世，享年91岁。O袁老，内蒙古还在等您来……​,0,0,0,0,内蒙古自治区乡村振兴局官方微博,刊发乡村振兴政策，发布乡村振兴动态，宣传乡村振兴典型，助力乡村振兴发展
双柏发布1,05月27日16:35,来自新版微博weibo.com, 【视频】以画为祭傣族青年田边绘像致敬袁隆平院士O【视频】以画为祭傣族青年田边绘像致敬袁隆平院士​,0,0,0,0,中共双柏县委宣传部官方微博,
福建日报,05月22日11:39,来自iPhone客户端, #袁隆平#【#秘书辟谣袁隆平去世#：生病了，目前在医院】5月22日上午，封面新闻记者从袁隆平院士秘书处获悉，网传袁隆平逝世的消息是假消息，“他生病了，在医院。”此外，湖南省农科院办公室一位工作人员也表示，袁隆平院士并未去世，“活得好好的”。#秘书称袁隆平目前在医院#L封面新闻的微博视频​,0,5,3,11,福建日报官方微博,1949年8月25日创刊，中共福建省委机关报，是福建省最具权威性、公信力和影响力的主流媒体。
共青团福建省委,05月23日09:52,来自iPhone客户端, 【#袁老说没实现的梦想后继有人会实现#】袁隆平团队研究员说，“袁老生前基本每天都去田里，风雨无阻。他看到我们，第一句话就聊杂交水稻，哪怕在吃饭也迫不及待了解田的进展。”生前，袁老曾说：“希望在有生之年，能实现禾下乘凉梦。我没有实现，我的后继人会实现。”网友：请您放心，后辈努力！#送别国之脊梁袁隆平#L央视新闻的微博视频  ,0,2,1,31,共青团福建省委员会官方微博,有温度，有态度，事实青年派。
速豹新闻,05月22日15:26,来自iPhone客户端, 【今天，#送别国之脊梁袁隆平#】今天，#共和国痛失袁隆平院士#。他是“共和国勋章”获得者，是“杂交水稻之父”。他用一粒粒种子改变世界，自己的愿望却非常朴实——在禾下乘凉。袁老，一路走好！央视新闻的微博直播​​​,0,0,0,0,速豹新闻网官方微博,
未来网,05月25日22:00,来自微博视频号, #从小爱学习#【习近平深切悼念袁隆平逝世并送花圈】5月24日上午，袁隆平同志遗体送别仪式在长沙明阳山殡仪馆举行。袁隆平同志逝世后，中共中央总书记、国家主席、中央军委主席习近平对他的逝世表示深切悼念，向其家属表示亲切问候并送花圈。L湖南日报的微博视频​,0,7,0,31,未来网官方微博,奔跑吧骄傲的少年! 微博私信或关注未来网微信公众号（ID:lovek618），将直接对话小未。
新浪军事,05月24日07:31,来自微博视频号, 【#外媒集体为袁隆平刷屏#回忆袁隆平诵毛主席诗作《七律·长征》】2019年9月5日，袁隆平接受总台《中国之声》的邀请，在“为你读诗”节目上背诵自己最喜欢的诗词——毛主席所作的《七律·长征》。2021年5月22日13点07分，袁隆平在湖南长沙逝世，享年91岁。“红军不怕远征难，万水千山只等闲”，长征一诵，豪情壮志，国士无双，袁老千古。#袁花花再也无法陪袁隆平听汇报了#@中国历史研究院L中国历史研究院的微博视频  ,0,37,6,220,新浪军事官方微博,播报最热军事资讯，介绍武器装备、各国军队、军事历史等军事知识。私信开放，欢迎投稿！
南京影视头条,05月22日19:37,来自iPhone客户端, 【#袁隆平的禾下乘凉梦#】中国工程院院士、“共和国勋章”获得者袁隆平于2021年5月22日逝世，享年91岁。在电影《袁隆平》结尾，袁隆平曾亲自出演老年的自己，用英语阐释了自己的“禾下乘凉梦”。缅怀，送别袁老！L凤凰网的微博视频​,0,1,0,1,南京电视台影视频道官方微博,周一到周日，南京电视台影视频道，不仅好戏连台，更为您奉上热播剧的新鲜资讯精彩花絮，更有观众互动，奖品多多！
六合发布,05月24日13:59,来自微博视频号, 【#年轻人为什么爱袁隆平#】“‘我们无法抵抗浪潮，但永远记得灯塔’。在人间播种子，在天上撒甘霖。没有见过一面，却像亲人一样亲切，那个可爱的老头。”“碗里的饭吃得干干净净，吃每一粒米都在想着您，珍惜粮食，向袁爷爷致敬。”网友这样缅怀刚刚逝去的袁隆平。湖南农业大学作物遗传育种专业学生黄子健对记者说：“袁隆平爷爷是我们科研道路上的导师。”戳视频↓by新华社L新华社的微博视频  ,0,9,4,2,中共南京市六合区委宣传部官方微博,飞驰中构建新城，奔跑中传递梦想，信步时欣赏棠邑美景，闲坐时叙说人文风貌。六合发布，与您一路同行。
安康中院,05月25日08:21,来自Android, #早间分享#【#聋哑男孩跑出一幅袁隆平画像#】#聋哑男孩用跑步轨迹画出袁隆平#22日，内蒙古自治区赤峰市一名聋哑男孩吴广明在得知袁隆平院士去世后，以跑步作画方式，跑出一幅10公里袁隆平院士头像，以此寄托哀思。当日下午，吴广明用2小时时间跑了10公里，用地图上的跑步轨迹，画出了袁隆平院士的头像。吴广明表示，袁隆平院士积极乐观，自强不息，勇攀高峰的创新精神一直影响着他。（胡永凤王微）L中新视频的微博视频  ,0,0,0,0,陕西省安康市中级人民法院官方微博,安康古称金州，历史悠久。安康市位于祖国版图中部、陕西省南端，北靠秦岭、南依巴山，汉江由西向东横贯而过，地缘和区位优势独特，处于川、陕、鄂、渝四省市的结合部，位处西安、武汉、重庆三大经济区的几何中心，阳安、襄渝和西康三条电气化铁路在安康交汇。境内山川秀美，气候宜人，资源丰富，秦巴汉水独特的自然生态环境，积淀深厚的文化底蕴，使安康成为陕西绿色生态旅游的品牌，被誉为陕西的“后花园”。安康市辖9县1区，国土面积23391平方公里，2012年末总人口274.5万人。
高坪区检察院,05月24日16:33,来自微博视频号, 【重温赤子心！#袁隆平曾用小提琴演奏我的祖国#】“一条大河波浪宽，风吹稻花香两岸”，这是2008年1月24日拍摄的视频资料，袁隆平院士用小提琴演奏《我的祖国》。从琴声中不难感受到这位人民科学家的赤子之心。致敬袁老，一路走好。#袁隆平遗体送别仪式#L在长沙的微博视频​,0,0,0,3,南充市高坪区人民检察院官方微博,
淮南检察,05月26日09:46,来自HUAWEIP30, 这是一部以袁隆平爷爷Q版形象为主角的科普动画片非常值得一看！向所有科研工作者致敬！,0,0,0,1,安徽省淮南市检察院官方微博,
鲁网潍坊,05月27日09:22,来自微博视频号, 【#学生拼1000个魔方纪念袁隆平院士#[水稻]】近日，山东#潍坊#，潍科学子耗时5个小时用1000个魔方纪念袁隆平院士。via.寿光网2潍坊L潍坊那点事儿的微博视频​​​,0,0,0,1,鲁网潍坊频道,鲁网潍坊新闻中心官方微博
青海共青团,05月22日17:51,, 【#联合国粮农组织悼念袁老#】今天，#共和国痛失袁隆平院士#。联合国粮农组织总干事屈冬玉发文悼念:“一生修道杂交稻，万家食粮中国粮。我敬爱的大师千古！”​​​​,0,3,0,19,中国共产主义青年团青海省委员会官方微博,关注青年理想与进步，倾听青年思想与诉求，服务青年民生与权益
甘教国际,05月24日11:51,来自360安全浏览器, 【今天，一起#送别袁老#】24日上午，#袁隆平院士遗体送别#仪式在长沙举行。转发微博，点亮水稻标记，一起送袁老最后一程：您的禾下乘凉梦，我们会接续努力！先生千古！​​​​​,0,0,0,0,甘肃省教育国际交流与合作服务中心官方微博,努力打造甘肃教育国际交流第一品牌
新城检察,05月24日11:30,来自微博视频号," #袁隆平离世前家人唱我的祖国#【家人在病床前不断唱着袁老喜欢听的歌：“他走得很安详，是笑着走的。”】袁隆平离世前：家人唱《我的祖国》,血压和心率一度回升。家人说，“他走得很安详,是笑着走的。”（新华每日电讯）L参考消息的微博视频​",0,0,1,0,陕西省西安市新城区人民检察院官方微博,厚德崇法 求真笃行
网信南阳,05月24日10:49,来自微博视频号, #悼念袁隆平#【送别！】今天，#袁隆平遗体送别仪式#。袁老，一路走好。L央视新闻的微博视频​,0,0,0,0,河南省南阳市互联网信息办公室官方微博,南阳市互联网信息办公室官方微博
河南日报,05月23日21:14,来自微博视频号, #河南网友送袁老#【全体起立，致敬袁隆平爷爷！】5月23日，河南周口。高一学生在教室向袁老鞠躬默哀。袁老，您在天堂好好休息，我们永远不会忘记您！L河南日报的微博视频​,0,11,0,61,《河南日报》官方微博,2013年2月28日生。性格：外柔内刚、仪表清新、谈吐幽默。口头禅：围观改变生活。理想：人民一边喝着咖啡，一边刷河南日报微博！
山西代县反邪教,05月22日21:25,来自铀媒, 【泪目怀念！#视频回顾袁隆平的90后追梦人生#】“我有两个梦，一个是禾下乘凉梦；第二个是杂交稻覆盖全球梦”…为了这两个梦，袁隆平毕生投身杂交水稻事业。天下田因你丰足，上亿人永无饥馑。此后每一缕升起的炊烟里，都有我们最深沉的追忆↓↓#您放心我们会好好吃饭#,0,0,0,0,代县防范和处理邪教问题办公室官方微博,
中国电影报道,05月24日13:22,来自微博视频号, #致敬人民的院士#他们，以永不言弃的意志帮助人民摆脱饥饿的煎熬，减轻病痛的折磨。双星陨落，精神永存！@电影频道电视端将在今晚18:13、20:15先后播出电影《我是医生》和《袁隆平》，谨以电影方式缅怀致敬，送别两位院士。电视端播出同时，今晚17:45，我们将在全网平台推出“致敬！人民的院士”电影频道融媒体直播，与您共同观影交流。敬请关注！一起送别两位“人民的院士”！#电影频道两片连映送别袁隆平吴孟超# #送别袁老#L中国电影报道的微博视频  ,0,35,21,354,电影频道旗舰栏目官方微博,电影频道旗舰栏目，为您送上权威电影资讯，精彩大片幕后，电影行业动态，众多明星“影事”，每晚18：00与您相约，精彩不容错过！电影新闻可以发送到邮箱cctv6zgdybd@vip.sina.com
槐荫检察,05月24日08:58,来自微博视频号, 【#袁隆平曾梦见自己在稻穗下乘凉#】袁隆平曾说，自己做过一个梦，梦中超级稻长得比高粱还高，稻穗有扫帚那么长，籽粒有花生米那么大。自己和助手在稻穗下乘凉，非常高兴。在他看来，提高粮食产量，让所有人远离饥饿，不仅是他自己的梦想，更是全人类的梦想。#袁隆平说梦中稻穗有扫帚那么长# #袁老说没实现的梦想后继有人会实现#@央视频L央视频的微博视频  ,0,0,2,2,山东省济南市槐荫区人民检察院官方微博,感谢网友一直以来对槐荫检察工作的监督和支持，期待广大博友的关注和鼓励！
新浪河北,05月22日15:39,来自iPhone客户端, “他进入了一个梦乡，那里的稻穗比高粱还高，穗粒比花生还大。风轻轻吹过，他戴着草帽，就坐在稻穗下乘凉。”#网友集体悼念袁隆平#​​​@人民日报​,0,9,1,25,新浪河北官方微博，新浪看点河北站官方微博,最全面、最快速的河北新闻资讯发布平台，网罗河北事，尽在新浪河北！http://hebei.sina.com.cn/
新浪深圳,05月24日12:00,来自微博weibo.com, 【#深圳有条“隆平路”#：一座城市对科学家的敬仰】今天上午10：00，#袁隆平遗体送别仪式#将于湖南省长沙市明阳山殡仪馆铭德厅举行。而在深圳，有条“隆平路”，一条长0.78公里的东西向道路，位于龙岗区坂田街道的华为技术有限公司片区。这是根据“杂交水稻之父”袁隆平而命名，体现了深圳对科学家的崇敬和对真理的追求。今日，让我们一起云悼念，远送袁老最后一程，先生千古！  ,0,1,1,52,新浪深圳官方帐号,深呼吸 圳能量
吉林资讯广播,05月23日08:55,来自iPhone客户端, 【#殡仪馆外市民自发排队为袁老献花#】5月22日深夜，湖南长沙明阳山殡仪馆外，市民自发排队，为袁隆平献花，寄托哀思。殡仪馆门口的花束堆成了小山，花束上的字条写满缅怀袁老的话语。无法言喻的悲伤，只想鞠躬送送您#共和国痛失袁隆平院士#根据袁隆平院士丧事从简的遗愿和当前疫情防控形势，5月23日长沙明阳山#殡仪馆不接待群众悼念袁隆平#。遥寄哀思，缅怀前行！（总台记者蒋琦赵喜温胜强）L中国之声的微博视频  ,0,0,0,0,吉林广播电视台资讯广播官方微博,汽车美食房地产，都市资讯百里挑一！FM100.1～吉林广播电视台资讯广播，百万私家车主品位之选!
河北长安网,05月22日22:22,来自微博视频号, 【#殡仪馆外市民排队为袁老献花#】今夜，长沙明阳山殡仪馆外，市民自发排队，为袁老献花，寄托哀思。无法言语的悲伤，只想鞠躬送送您#共和国痛失袁隆平院士#L央视新闻的微博视频​​​,0,0,0,0,河北长安网官方微博,河北长安网是河北省委政法委员会官方新闻网站。讲好政法故事，弘扬法治精神。
安徽交通广播,05月23日21:14,来自iPhone客户端, 【饥荒年代不可能再有了陕西#小伙用泥塑致敬袁隆平院士#】5月22日，陕西咸阳兴平小伙杨选将自己制作的袁隆平院士泥塑雕像视频放在社交网络。杨选说，自己当天一直在工作室进行创作，下午下班获知袁隆平院士逝世的消息后，感到十分悲痛。疫情期间，作为雕塑艺术创作者的他，深感逆行英雄们的不易和伟大，便专心泥塑对国家有贡献的英雄人物雕像。而在去年3月，杨选就花费了3天时间泥塑了袁隆平院士的雕像，现在他把泥塑雕像拿出来，向公众呈现以致敬袁隆平院士。@陕视新闻L陕视新闻的微博视频  ,0,1,0,4,安徽交通广播fm908官方微博,请关注我们的微信号：anhui908 与主播互动的唯一平台哦！最广播 FM90.8 安徽第一影响力车载传媒 新媒体专线：0551-63458708
银川人社,05月28日13:05,来自HUAWEIP30, 从宁粳23号到海水稻，袁隆平与宁夏水稻的故事,0,0,0,0,银川市人力资源和社会保障局官方微博,银川市人力资源和社会保障局共有下属单位六个： <br />  银川市劳动就业服务局 <br />  银川市社会保险事业管理中心<br />
上虞交警大队,05月23日12:21,来自Android, //@浙江公安:【#新闻联播里的袁隆平吴孟超生前影像#】,0,0,0,0,绍兴市公安局上虞区分局交通警察大队官方微博,搭建警民互动平台，及时传递交管信息。
安康政法,05月27日14:22,, 【#西部瓜王62年培育30多个瓜种#，谢谢吴奶奶！】#8424西瓜是这位奶奶培育的#吴明珠和袁隆平是西南农学院的同学，填分配志愿表时，吴明珠写下要到新疆、到祖国最需要的边疆去工作。62年里，吴明珠培育了30多个品种，包括甜瓜品种“皇后”、西瓜品种“8424”，为新疆及全国的甜瓜、西瓜事业作出了突出贡献。如今，91岁的吴明珠患有阿尔兹海默症，已经认不出人，但有关种瓜的记忆还在，有时候她突然要出门，嘟囔着瓜该授粉了。@人民日报#中国人能自由吃瓜离不开这位奶奶#O吴明珠：把瓜的甘甜献给人民  ,0,2,4,13,中共安康市委政法委员会官方微博,
中国警察网,05月23日21:04,来自微博视频号, 【#袁花花常陪袁隆平听汇报#网友：袁花花你要好好长大】这只小猫名叫袁花花，是袁隆平在2020年五一收养的，此后经常陪着袁老听各种汇报。2020年7月，袁隆平家里，学生李建武来汇报各地水稻实验田的亩产情况，袁花花陪伴在旁边。如今，#袁花花再也无法陪袁隆平听汇报了#L央视国家记忆的微博视频​,0,16,8,140,中国警察网官方围脖,中国警察网是公安部主管，由人民公安报社主办的大型综合性门户网站。
嘉兴经开城西派出所,05月25日16:50,来自iPhone客户端, //@嘉兴公安:#91秒追忆袁隆平#//@浙江公安:#91秒追忆袁隆平#,0,0,0,0,嘉兴市公安局经济技术开发区（国际商务区）分局城西派出所,
长安皋城,05月24日14:34,来自360安全浏览器, 【重温赤子心！#袁隆平曾用小提琴演奏我的祖国#】,0,4,2,4,中共六安市委政法委员会官方微博,
新浪军事,05月26日07:45,来自微博视频号, “一稻济天下！”广东广州，500架无人机在夜空中致敬袁隆平！#广州夜空画出袁隆平# #为袁隆平拍照24年存500多张照片#（广州日报）L广东共青团的微博视频​,0,53,9,518,新浪军事官方微博,播报最热军事资讯，介绍武器装备、各国军队、军事历史等军事知识。私信开放，欢迎投稿！
北疆女声,05月24日22:35,来自Android, 【#禾下乘凉梦我们接续努力#】“以后吃饭绝对不浪费粮食，好好搞科研，你要相信我，我会做到的。”九江、南京、重庆、长沙，在袁隆平故乡，在袁老曾经求学、生活、工作的地方，他们有话想对袁隆平说↓↓接过接力棒，“努力做一颗向上的小种子”。L人民日报的微博视频​​​​,0,0,0,3,内蒙古自治区妇联网络信息传播中心官方微博,汇聚女性时代强音，传递女性新闻资讯，聚焦女性热点话题，交流女性关切之声，服务女性多彩生活
昆明市西山区发布,05月23日13:28,来自Android, 【#袁老说没实现的梦想后继有人会实现#】袁隆平团队研究员说，“袁老生前基本每天都去田里，风雨无阻。他看到我们，第一句话就聊杂交水稻，哪怕在吃饭也迫不及待了解田的进展。”生前，袁老曾说：“希望在有生之年，能实现禾下乘凉梦。我没有实现，我的后继人会实现。”网友：请您放心，后辈努力！#送别国之脊梁袁隆平#（@央视新闻）L央视新闻的微博视频  ,0,0,0,0,中共昆明市西山区委宣传部,这里是西山区政务服务官方微博，倾听民意、激发民智、与民互动、凝聚民心，在这里，你可以了解到西山区最新资讯，欢迎给我们提出宝贵的意见和建议。
经济日报,05月23日20:52,来自微博weibo.com, 【受习近平委托湖南省委书记看望袁隆平同志家属并转达亲切问候】受中共中央总书记、国家主席、中央军委主席习近平委托，今天下午湖南省委书记许达哲专程看望了袁隆平同志的家属，转达习近平对袁隆平同志的深切悼念和对其家属的亲切问候。　　习近平高度肯定袁隆平同志为我国粮食安全、农业科技创新、世界粮食发展作出的重大贡献，并要求广大党员、干部和科技工作者向袁隆平同志学习，强调我们对袁隆平同志的最好纪念，就是学习他热爱党、热爱祖国、热爱人民，信念坚定、矢志不渝，勇于创新、朴实无华的高贵品质，学习他以祖国和人民需要为己任，以奉献祖国和人民为目标，一辈子躬耕田野，脚踏实地把科技论文写在祖国大地上的崇高风范。　　袁隆平同志家属对习近平的关心厚爱表示衷心感谢，表示要继承袁隆平同志的遗志，努力工作，奉献社会，绝不辜负党和人民以及社会各界的关怀。O网页链接（湖南日报）  ,0,5,0,10,经济日报法人微博,中央党报，经济大报。主流，权威，公信力。
福建永定新闻网,05月24日17:41,来自微博weibo.com, 天天学习丨总书记为何要求向袁隆平学习?O天天学习丨总书记为何要求向袁隆平学习？​,0,0,0,0,龙岩市永定区融媒体中心,弘扬主旋律 传播正能量
上游新闻,05月23日09:35,来自微博视频号, #重庆新闻#【敬礼的动作让人泪目！众多#家长带孩子到袁隆平雕像献花鞠躬#】5月22日，在袁隆平雕像前，有不少家长带着孩子一同前往献花，孩子们敬礼鞠躬的动作都很认真。我们要把袁老的故事讲给子子孙孙听，把他的禾下乘凉梦传承和守护下去！O敬礼的动作让人泪目！众多家长带孩子到袁隆平雕像献花鞠躬L上游新闻的微博视频​,0,0,0,2,重庆晨报上游新闻客户端,汇聚向上的力量
青白江商务,05月24日11:48,来自微博weibo.com, 【#人民日报发文追记袁隆平#：一稻济世，万家粮足】5月22日13时07分，袁隆平院士逝世，享年91岁。他是我国研究与发展杂交水稻的开创者，也是世界上第一个成功地利用水稻杂种优势的科学家，被誉为“杂交水稻之父”。“人就像种子，要做一粒好种子”，这是袁隆平院士生前常说的一句话。他也用一生，为这句话写下了注脚。O“杂交水稻之父”袁隆平院士  ,0,1,0,0,成都市青白江区商务局官方微博,成都市青白江区商务局官方微博
青岛环保,05月24日11:44,来自微博weibo.com, 【#袁隆平遗体送别仪式上民众跪地痛哭#】,0,4,0,0,青岛市生态环境局官方微博,青岛市生态环境局政务微博
陇南武都马营镇,05月24日22:49,来自nova5人像超级夜景, 【送别！】今天，#袁隆平遗体送别仪式#。袁老，一路走好。L央视新闻的微博视频​​​2陇南​,0,0,0,0,甘肃省陇南市武都区马营乡官方微博,
埇桥检察,05月22日13:54,来自HUAWEIP30Pro, 【痛悼！#共和国痛失袁隆平院士#】#袁隆平逝世#,0,0,3,2,安徽省宿州市埇桥区人民检察院官方微博,
MusicFM993,05月23日21:46,来自微博视频号, 【#长沙的哥免费接送吊唁乘客#】23日，湖南长沙阴雨绵绵。当天，有长沙的出租车司机自发组织起来，免费接送去往长沙殡仪馆吊唁袁隆平院士的群众，往返不收一分钱。网友：#长沙有太多的感动了#L辣视频的微博视频​,0,0,0,9,广东广播电视台音乐之声官方微博,最爱993💘广东广播电视台音乐之声🎼 演出资讯｜线下演出｜音乐发布  工作/合作请联系vx:shanjam
海报新闻,05月24日09:48,来自微博weibo.com, 【海报直播｜袁隆平遗体送别仪式：袁爷爷，您一路走好】#袁隆平院士遗体送别仪式#上午10:00在湖南省长沙市明阳山殡仪馆铭德厅举行。#群众雨中排千米长队送别袁隆平#大众网·海报新闻记者在长沙市明阳山殡仪馆及湖南杂交水稻研究中心现场直播大众网的微博直播​,0,2,1,2,海报新闻客户端官方微博,“海报新闻”客户端由省委宣传部、省委网信办主管，大众报业集团主办，山东省互联网传媒集团承办。
